Kennziffer;Raumeinheit;Aggregat;Beschäftigtenquote Frauen;Beschäftigtenquote Männer;Teilzeitbeschäftigte;Teilzeitbeschäftige Frauen
9373;Neumarkt i.d.OPf.;Kreise;63,63;71,94;28,63;54,33
9374;Neustadt a.d.Waldnaab;Kreise;62,97;67,92;25,55;52,42
9375;Regensburg;Kreise;64,87;74,62;28,76;55,76
9376;Schwandorf;Kreise;64,25;73,74;25,81;49,99
9377;Tirschenreuth;Kreise;62,28;70,3;25,59;54,37
9461;Bamberg, Stadt;Kreise;59,59;63,85;34,11;54,02
9462;Bayreuth, Stadt;Kreise;59,98;61,7;33,55;50
9463;Coburg, Stadt;Kreise;63,07;69,63;28,88;49,68
9464;Hof, Stadt;Kreise;61,04;68,14;34,57;54
9471;Bamberg;Kreise;64,98;74,2;28,44;56,58
9472;Bayreuth;Kreise;66,62;71,17;31,6;58,73
9473;Coburg;Kreise;70,99;75,79;27,24;50,05
9474;Forchheim;Kreise;65,51;74,31;32,6;56,13
9475;Hof;Kreise;66;69,95;26,87;50,54
9476;Kronach;Kreise;68,04;71,99;27,52;52,53
9477;Kulmbach;Kreise;67,98;71,15;28,75;53,22
9478;Lichtenfels;Kreise;66,14;72,57;31,59;54,34
9479;Wunsiedel i.Fichtelgebirge;Kreise;63,37;71,88;27,28;49,76
9561;Ansbach, Stadt;Kreise;66,07;73,86;32,62;51,51
9562;Erlangen;Kreise;60,79;71,49;29,88;48,77
9563;Fürth, Stadt;Kreise;63,9;70,14;29,18;47,31
9564;Nürnberg;Kreise;61,79;70,1;29,03;46,87
9565;Schwabach;Kreise;62,58;74,54;29;50,31
9571;Ansbach;Kreise;65,27;73,65;28,27;53,26
9572;Erlangen-Höchstadt;Kreise;66,81;75,19;25,76;46,87
9573;Fürth;Kreise;66,81;72,92;33,51;54,46
9574;Nürnberger Land;Kreise;66,08;72,98;31,75;55,82
9575;Neustadt a.d.Aisch-Bad Windsheim;Kreise;67,35;73,83;32,91;56,77
9576;Roth;Kreise;65,6;72,53;30,47;56,57
9577;Weißenburg-Gunzenhausen;Kreise;63,62;72,4;32,34;57,15
9661;Aschaffenburg, Stadt;Kreise;59,32;70,74;29,28;51,15
9662;Schweinfurt, Stadt;Kreise;60,67;70,7;24,55;51,46
9663;Würzburg, Stadt;Kreise;58,38;64,92;37,01;53,36
9671;Aschaffenburg;Kreise;63,66;74,54;27,8;53,48
9672;Bad Kissingen;Kreise;65,15;72,46;33,17;56,19
9673;Rhön-Grabfeld;Kreise;66,51;72,16;30,05;55,14
9674;Haßberge;Kreise;64,18;74,79;30,14;57,8
9675;Kitzingen;Kreise;65,71;73,94;29,09;53,31
9676;Miltenberg;Kreise;62,7;74,59;28,7;53,82
9677;Main-Spessart;Kreise;65,69;76,06;28,27;56,98
9678;Schweinfurt;Kreise;65,85;73,34;30,1;55,4
9679;Würzburg;Kreise;66,71;72,22;30,59;53,42
9761;Augsburg, Stadt;Kreise;59,45;68,54;32,27;50,6
9762;Kaufbeuren;Kreise;61,59;72,37;34,19;53,45
9763;Kempten (Allgäu);Kreise;67,37;76,6;32,82;53,14
9764;Memmingen;Kreise;63,13;78,4;25,5;46,51
9771;Aichach-Friedberg;Kreise;63,08;71,23;30,94;54,57
9772;Augsburg;Kreise;62,68;70,63;29,17;55,86
9773;Dillingen a.d.Donau;Kreise;64,14;74,72;31,15;56,99
9774;Günzburg;Kreise;65,43;75,56;28,56;52,57
9775;Neu-Ulm;Kreise;63,23;73,52;26,32;51,12
9776;Lindau (Bodensee);Kreise;62,92;67,7;28,03;49,47
9777;Ostallgäu;Kreise;64,09;73,22;27,81;53,14
9778;Unterallgäu;Kreise;65,87;78,1;25,82;54,33
9779;Donau-Ries;Kreise;65,13;76,53;25,13;51,15
9780;Oberallgäu;Kreise;67,51;72,44;30,9;52
10041;Regionalverband Saarbrücken;Kreise;54,75;62,39;28,78;46,66
10042;Merzig-Wadern;Kreise;48,81;49,91;29,92;49,76
10043;Neunkirchen;Kreise;57,45;65,25;30,03;51,68
10044;Saarlouis;Kreise;54,04;61,68;26,58;50,17
10045;Saarpfalz-Kreis;Kreise;57,98;66,22;25,38;46,68
10046;St. Wendel;Kreise;58,68;65,36;30,23;53,97
11000;Berlin, Stadt;Kreise;59,41;62,39;34,02;44,88
12051;Brandenburg an der Havel, Stadt;Kreise;64,01;65,43;33,27;50,83
12052;Cottbus, Stadt;Kreise;64,99;68,12;34,51;48,67
12053;Frankfurt (Oder), Stadt;Kreise;62,52;64,07;37,65;50,98
12054;Potsdam, Stadt;Kreise;62,52;64,34;35,71;46,89
12060;Barnim;Kreise;66,08;65,45;35,55;53,26
12061;Dahme-Spreewald;Kreise;67,55;68,27;31,18;49,46
12062;Elbe-Elster;Kreise;65,74;69,47;32,5;54,74
12063;Havelland;Kreise;64,97;65,44;32,46;52,12
12064;Märkisch-Oderland;Kreise;65,64;65,35;33,62;51,82
12065;Oberhavel;Kreise;65,24;65,27;32,25;52,56
12066;Oberspreewald-Lausitz;Kreise;66,48;69,15;33,12;55,39
12067;Oder-Spree;Kreise;66,54;67,2;28,98;50,21
12068;Ostprignitz-Ruppin;Kreise;64,18;65,36;34,59;54,32
12069;Potsdam-Mittelmark;Kreise;66,53;64,12;34,23;54,27
12070;Prignitz;Kreise;64,7;65,66;32,43;54,01
12071;Spree-Neiße;Kreise;66,99;69,14;30,8;54,21
12072;Teltow-Fläming;Kreise;67,56;68,18;25,23;46,1
12073;Uckermark;Kreise;59,78;61,69;35,49;57,24
13003;Rostock;Kreise;63,76;65,37;30,4;45,21
13004;Schwerin;Kreise;62,22;61,75;31,67;45,29
13071;Mecklenburgische Seenplatte;Kreise;67,09;67,06;32,96;51,98
13072;Landkreis Rostock;Kreise;66,01;63,93;32,57;52,38
13073;Vorpommern-Rügen;Kreise;67,71;66,02;30,5;46,45
13074;Nordwestmecklenburg;Kreise;66,06;67,55;31,55;52,52
13075;Vorpommern-Greifswald;Kreise;64,25;63,18;35,13;50,23
